book_id,book_listing,book_author,book_title,book_publisher,book_place,book_year,book_edition,book_size,book_condition,book_notes,book_directory
1643,What Is an Original Print?,"Cahn, Joshua Binion",What Is an Original Print?:  Principles recommended by the Print Council of America,Print Council of America,"New York, NY",1967,,,,,
1644,Metropolitan Museum of Art Guide to the collections: Prints,"Mayor, A. Hyatt.",Metropolitan Museum of Art Guide to the collections: Prints,Metropolitan Museum of Art,"New York, NY",1964,,,,,
1645,Cent Tableaux De Jacques Villon.,None,Cent Tableaux De Jacques Villon.,Galerie Charpentier,"Paris, FR",1961,,,,,
1646,Jacques Villon: A Collection of Graphic Work 1896-1913,None,Jacques Villon: A Collection of Graphic Work 1896-1913 in Rare or Unique Impressions,"Lucien Goldschmidt Inc,","New York, NY",1970,,,,,
1647,Jacques Villon - Master Prints,None,"Jacques Villon - Master Prints - 5 June to 11 July, 1980",Lumley Cazalet Ltd,"London, England",1980,,,,,
1648,Tamarind: Homage to Lithography,"Lieberman, William S. ; Virginia Allen",Tamarind: Homage to Lithography,Museum of Modern Art,"New York, NY",1969,,,,,
1649,Night Prints from the Fifteenth to the Twentieth Century,"Benedict, Ruth B.",Night Prints from the Fifteenth to the Twentieth Century,National Gallery of Art,"Washington, DC",1986,,,,,
1650,Selected Impressions: Recent Acquisitions of Master Prints from the Fifteenth to the Twentieth Century,"Lochnan, Katharine Jordan",Selected Impressions: Recent Acquisitions of Master Prints from the Fifteenth to the Twentieth Century,Art Gallery of Ontario,"Toronto, Ontario, Canada",1979,,,,,
1651,Twentieth Century Illustrated Books,None,Twentieth Century Illustrated Books,Ringling Museum of Art,"Sarasota, FL",1967,,,,,
1652,The Ars Medica Center,None,The Ars Medica Center,Philadelphia Museum of Art,"Philadelphia, PA",1969,,,,,
1653,First International Biennial of Contemporary Color Lithography.,None,First International Biennial of Contemporary Color Lithography.,Cincinnati Art Museum,"Cincinnati, OH",1950,,,,,
1654,Fifth International Biennial of Contemporary Color Lithography,None,Fifth International Biennial of Contemporary Color Lithography,Cincinnati Art Museum,"Cincinnati, OH",1958,,,,,
1655,New England Works on Paper.,None,New England Works on Paper.,Museum of Fine Art,"Boston, MA",1976,,,,3 copies,
1657,The Prairie Print Makers,"O'Neill, Barbara Thomspon; George C. Foreman",The Prairie Print Makers,Gallery Ellington,"Wichita, Kansas",1984,,,,,
1656,From Line to Tone.,None,"From Line to Tone. Selected prints from the collection of Carl F. and Anna M. Barnes, Jr.",Meadowbrook Art Gallery,"Rochester, MI",Jan.-Feb. 1984,,,,,
1658,American Painter Etchings 1853-1908,"Schneider, Rona",American Painter Etchings 1853-1908,Grolier Club,"New York, NY",1989,,,,,
1659,Art and Art Objects Catalog 115,None,Art and Art Objects Catalog 115,Jenkins Company,"Austin, TX",1978,,,,,
